sentence	label
안성기의 아역 연기력, 허장강의 어설픈 외국어실력을 볼 수 있었던 영화.	연기력
애슐리 주드 연기력은 좋다만, 블론드가 끌리는건 어쩔수없내	연기력
연기력 하나만으로도 먹어준다.	연기력
드라마 내용과 구성은 정말 괜찮으나 주연 배우들의 연기력이 많이 아쉬웟던 드라마.. 특히 지현우씨의 어색한 사극톤은 16회까지 봐도 적응이 되지를 않는다...	연기력
최고의 연기력들~~~	연기력
희래엄마 연기력 진짜 어의없음 몰입이안됨	연기력
감독이 전하는 메시지는 좋았으나... 주인공 남, 여 빼고 외 남자 3명이 받쳐줘야하는 부분에서 연기력이나 행동들이 너무 성의없이 보였다.. 1인4역보다 1인 다역을 하는게 평점은 더 좋지 않았을까? 평점은 남여각각 3점 감독3점 남자3명 -2점	연기력
장르가 왜 코미디일까. 김수로 연기력 폭발!	연기력
완성도 높은 스토리 반전.. 높은 연기력에 집중이 잘되었다	연기력
8점을 하고싶으나 평점이 좀 낮아서... 9점 클릭 했어요 그리고 영화가 전하고자하는 메시지가 상당히 많고 좋았습니다. 예지원씨 연기력도 굳!	연기력
그의 연기력에 감탄했어요	연기력
에릭로버츠와 존보이트의 연기력이 정말 일품. 엔딩장면은 정말 최고다.	연기력
재미가 없다기 보단 남는 게 없다. 영국분들 연기력들은 당연 좋았지만. 내용이 별로.	연기력
아주 예전에 본,, 오지호 최악의 연기력만 기억에 남아있음	연기력
지루하고 질질끄는 스토리에 극적인장면은 하나도안나오고 주인공 연기력만 믿고보는	연기력
드니로의 좋은 연기력 옛날 영화이지만 지금봐도 꿀 잼.	연기력
이 영화가 2010년에 만들어졌다는게 가장 큰 충격입니다. 연기력 별로고 그래픽도 진짜 구립니다. 유치해서 웃음이 나올지경입니다. 스토리는 뭐 재난영화 비슷하고....	연기력
연출력과 연기력, 모두 역부족.. 답답한 로케이션. 야인시대외전?	연기력
각자의 연기력으로 빠져들게 했던 영화이다.감상후 온몸이 무겁고 무기력해졌던 영화.내주위에 또는 여러사람주변에서 일어날수있음직한 내용들로 가득하다.과장은 절대 찾아볼수없는...그래서 더욱 마음이 무겁기만하다.근래들어 잘 만들어진 작품이라 말할수 있겠다.	연기력
그저그런 소재에 , 어찌보면 밋밋할정도의 기승전결을 배우의 연기력과 제목이 캐리했다.	연기력
김래원 엄정화 연기력 좋고좋고	연기력
여주 연기력이.... 내용은 할 말이 없네요	연기력
내 인생 최고(?)또는,최악(?)의 드라마.막장도 갑...반전도 썰렁한 걸로,갑...장미희의 쓸데없는 연기력만 눈부시게 빛나네.똑 사세요~똑.이용.이장우랑,오연서는,사귀는지 ,안 사귀는지,관심도 없는데도,지들 끼리 오도 방정,호들갑 다떨고 다님(웃음)	연기력
서우 연기력이 무섭다	연기력
"""썅!! 젠장 처음 20분 보다 연기력에 좌절하고 마지막 장면이 대박이라해서 스킵해서 봤더니 틱장애라는말에 공감을 """"나만당할수 없지"""" 라는 생각에 마지막보라고 한평점들이었다니 ㄷㄷ"""	연기력
평점이 딱 6점수준..연기력10. 연출력 1. 스토리구성 0 범행의 동기부여 노이해	연기력
여주인공의 연기력이 너무 좋다.. 스토리도 어슬프지않고 짜임새있고.. 이런류의 영화를 좋아하지않아 중간중간 지루함도 있었지만 그 지루함이 오래가질않게끔하는 매력이 있는 영화...	연기력
영화라는 매체상 시간제한이 있는데 상영시간내에 원작의 내용과 느낌을 잘표현하였다.인물들의 연기력도 영화를 몰입하기에 충분하였다.	연기력
이정도면 충분히 재미를 준 훌륭한 오락영화였다. 연기력들도 탄탄	연기력
오~ 정말 별 기대안하고 봤는데... 소재와 연기력 연출 삼박자가 만들어낸 최고의 공포 스릴러 무비 !!! 다음 장면을 예상함에도 움찔움찔!!	연기력
흠... 영화로 보면 실망할 것 같더니... 실망이 컸습니다... 연기력들이...ㅠㅠ	연기력
연기력 ㅋ 여러분들 연기력 연기력 잘보세요^^	연기력
사극은 연기력이 출중한 배우를 주연으로 써야 하는거 아닌가?	연기력
진짜1점도주기싫은드라마.송혜교 조인성걍시청률올릴라고퍼부은드라마.연기력땅을친다진짜.특히조인성 눈크게울면연기잘한다생각하나.토나온다아이리스와같이본드라마.장혁 조인성연기력차이너무난다.막장대본참성공률한자릿수수술성공하지안나ㅋ칼맞고살지안나그나마볼건정은지의연기력발견	연기력
이런 영화에 평점이라니...연기력 최악...스토리 최악...TV드라마인줄 알았다..	연기력
브루스 윌리스의 연기력은 끝이없도다	연기력
너무 개 쓰레기 같은 영화 애미없는 구성 진부한 스토리 토 나오는 연기력 삼위일체	연기력
보면서 육성으로 욕나오는 영화…집착도 병이다…저건 순수가 아니라 무뇌야…그만큼 조보아가 연기를 잘한 거니까, 조보아 연기력에 4점 드림.	연기력
많이 무섭지는 않은데 긴장감은 최고ㅋ후반부에 반전과 특히 어린나이인데도 주인공의 소름 돋는 연기력은 ㄷㄷ.	연기력
우와 이런영화도있구나 연기력0.1 스토리0.2 음악ㅇ 합이 0.3 진짜 발연기는그렇다치고 중간중간나오는 60년대 통기타소리는 정말이지 최악이다	연기력
내가 봤던 영화중에 가장 웃기지 않았던 영화다. 억지웃음 짜내는 장면 많고 웃음포인트가 너무나 단순해서 다 보인다. 배우들 연기력도 너무 별로였다.. 10년이나 지나서 그런지는 몰라도 노잼 그 자체였음.	연기력
이때까지본조선사극중제일역사와비슷하게만들었더군요그래서더재밌었어요연기자들한분한분연기력이얼마나뛰어나던지김현주씨연기력이정말말이안나올정도로굿!처음부터얌전의편이여서그런지마지막에얼마나안타깝던지ㅠ태어날때부터무시받고살다궁궐에입궐해서도무시받으니저같았어도독기품었을꺼에요	연기력
처음에 무슨 옛날 영화냐고 했는데 역시 예전이나 지금이나 톰행크스는 연기력의 끝이다	연기력
안소희 인생에 첫작품이자 마지막작품ㅋㅋㅋㅋㅋㅋㅋ비쥬얼,연기력,발성 모두 최악	연기력
연기력 별5개 감동 별 4개 전해지는내용 별 4개 개인적인 영화평가 별1개	연기력
오늘 똥개를 보았습니다. 줄거리 잔혀 모르고 봤더니 확실히 영화가 재밌습니다. 정우성을 비롯하여 출연배우들의 연기력에 감탄하면 즐겁게 잘 봤습니다. 한국영화 점점 대단해져서 무척 좋습니다.	연기력
아 연기력 오글거려 두번은 못보겠다	연기력
지금 나의 현실과 공감하는 부분이 많아 몰입하면서 봤네요.배우들에 연기력 신임감독에 노련한 연출이 엿보이는 작품이네요 저예산 영화지만 박수를 쳐주고 싶은 영화인거 같아요.	연기력
....주인공의 연기력빼곤 볼게 없던영화	연기력
케빈 형님...재능은 정말 뛰어난데 그 뛰어난 재능을 이런 영화에 썩히다니...케빈 스페이시가 그 뛰어난 연기력과 카리스마에 비해 필모그래피를 보면 출연편수에 비해 명작이 많지 않다. 제발 다시는 이런 영화 나오지 마소서	연기력
중국에서 안병기의 이름을 알린 출세작. 성공에 힘입어 3편까지 제작. 매정 이라는 배우의 외모와 연기력이 수준급이지만 익숙하다못해 진부한 모티브들과 무섭지 않다는게 단점	연기력
내가 본 한국 드라마사상 최고의 수작. 작가의 필력, 감독의 연출력, 음악감독의 배경음악, 카메라워크, 배우들의 빼어난 연기력...모두 10점 만점에 10점. 최고.	연기력
구구절절 설명하고 이해시키려는 노력이 큰 의미없이 다가온다. 차라리 이유없는 사이코패스를 그려내는 쪽이 나았을듯. 괜찮은 아이디어와 흥미로운 장면들이 꽤나 있지만 팀장의 연기력이 끊임없이 맥을 끊는다.	연기력
연기력도 좋고 친구들간의 우애,의리넘치는 영화네요 하 너무 울었다 ㅠㅠㅠㅠ	연기력
세계 유일 분단 국가. 인간은 역시 잔인한 동물. 누굴 욕할 거 없이 나도 마찬가지. 근디 현재 연기력 인정 받는 배우들도 이 때는 발연기였네유.	연기력
멍청한 시나리오, 작위적이고 오그라드는 캐릭터 그리고 연기력. 한국영화 OO라!	연기력
수목장이라는 영화를 보고 봐서 그런지 너무나 후한 점수를 주게되네요.모 그래도 공포영화의 요소는 어느정도 집어 넣었고, 재밌었네요.그런데 화면구성이나 장소 연기력등등 너무 미흡한점은 많았어요. 볼 영화 없으면 한번쯤 봐도 될듯?	연기력
송혜교는 걍 하늘이 주신 천사임 진심 드라마보는내내 비주얼쇼크 ㄷㄷ 연기력도 소름돋게했다 어떻게 대한민국에 그런 여배우가	연기력
박보영의 기가막힌 연기력클라스를 볼수잇는영화;; 이것만 여섯번봄.. 개명작..	연기력
이런 명작 서부영화는 앞으로도 절대 나오지 못할것이다.세명의 생생한 케릭터,연기력,스토리전개,거기에 위트까지. 마지막 결투씬과 결말은 정말 너무나 멋진 명장면이 아닐수 없고 마무리다.	연기력
새끼곰 수컷곰한테 아카데미 상하나 줘야된다. 연기력쩐다.	연기력
차승원 송윤아 연기력 조조연급임.한국영화는 조폭 안들어가면 영화를 못만드나봉가	연기력
연기력이 안되니까 벗는 구나. 연기력 딸리는 여배우들의 흔한 선택.	연기력
일베충들 단체로 김보성 영화 10점 주는꼴보소..ㅋㅋ 케이블서 지금보는데... 이건머 스토리 병맛에 연기력은 후지산 대폭발해버릴듯.	연기력
시청자 조차 몰입하게되는 스토리 .눈을 사로잡는 배우들의 연기력 .귀를 귀울이게 하는 대사 .한회한회 볼때마다 생각하게 하는 이 드라마. 많은것을 얻었습니다.황금의제국 관계자분들 감사드립니다.	연기력
뛰어난 연기력과 연출 그리고 시나리오	연기력
이 명작이 왜 7점밖에 안될까요? 평점만 보고 안보려고 했다가 안봤다면 후회할 뻔한 영화였네요..짜임새 스케일 연기력 대만족합니다..	연기력
솔직히 영화를 끌어가는데 지루함이 좀 있지만 전하고자 하는 의미와 여운이 큰 영화이다. 요즘 나오는 상업영화는 결코 따라오지 못할 힘이 있다. 이병헌은 영화에서도 이루어지지못하는 일을 현실로만든, 그때도 역시 연기력이 대단했던 배우다	연기력
주연배우들의 연기력이 참 좋네요~김정학 연기력 최고~~!!	연기력
정말 더빙 때문에 좋은 영화 망쳤네요..엄마 목소리는 정말 듣기 싫네요..연기력이 없어 감동은 못 받네요..	연기력
덴젤워싱턴의 절제된...그러나...알수없는 포스를 느낄수있는 연기력....	연기력
시간 가는줄 모르고 봄 작가가 뭘좀 아넹 글고 연기력들이 다 ㄷㄷ함	연기력
김태희의 연기력이 바닥이다	연기력
재밌네용~~ 야하기만하고 내용은별거없는허접한영화도많은데 내용도탄탄하고 몰입해서잘봤어요 다른부분도다훌륭하지만 연기력 음악 영상미 굿굿	연기력
연기력최고 몰입도최고	연기력
시공간을 뛰어넘는 한 남자의 3가지 사랑이야기! 예쁘고, 웃기고, 멋있고, 아름답고.. 21세기에 오랜만에 모든 것을 다 갖춘 천재적인 감독의 등장!! 배우 야마다 다카유키 연기력이 정점에 이르다. 감각적이고, 스타일리쉬한 보기드문 영화!	연기력
펜레터를 꺼내려다 죽은 미키 이야기에 눈물이 쏟아진 건 내가 OOO라서인가? 3류 코메디처럼 끝나는 엔딩에서는 울어야 할지 웃어야 할 지 난감했다. 각본이 워낙 좋으면 연출이나 연기력 따윈 별로 중요하지 않다는 걸 보여준 영화...	연기력
연기력 뛰어나 몰입이 잘되는군요 중간에 약간 루즈한거만빼면 괜찮을듣	연기력
이홍기 진짜 미스캐스팅이구만 연기력있는 배우들을 쓰란 말이다!	연기력
지루하고 뻔한반전 무엇보다 연기력 ㅆㅎㅌㅊ	연기력
정말 쓰레기 영화가 따로 없다. 중간 중간 끊어지는 화면 흐름. 허접한 배우 연기력..도대체 뭘 말할려고 하는 영화인지 모르겠고 이제 짱꼴라 영화는 더이상 안볼란다. 더는 안속아~	연기력
할리우드의 큰별이졌네요... 이영화 다소 지루할수있습니다. 러닝타임도 길고요. 그러나 벌써 6년이나 지났음에도 잊혀지지않는 호프만의 섬뜩한 눈빛. 그의 연기력만으로도 충분히 가치있는작품입니다. 창작의 고통과 인간의 이기심도 잘 표현했구요.	연기력
생각할게 많은 영화. 연기력이 좋아 지루하지 않게 몰입 가능	연기력
1원을 보고 찾아서 이 영화를 보게 됨! 난 솔직히 이게 훨씬 전쟁 씬 장면이라던지 주인공들의 연기력이 더 뛰어나 몰입감 짱이었던 영화!	연기력
강진주(윤해영)와 서지환(이재황) 주연배우 및 화려한 조연배우들의 캐스팅과 뛰어난 연기력 그리고, 흥미진진한 스토리전개로 100%로 몰입하여며 재미있게 시청하고 있습니다. 힘든과정에서 열심히 촬영하는 제작진과 배우들 더욱더 힘내서 화이팅 하세요!	연기력
진심 졸작입니다. 배우진도 김영애씨 제외하곤 ㅈ망 캐스팅입니다. 특히 송일국씨는 슈퍼맨이나 찍으시기 바랍니다. 어쩜 연기력이 10년전이나 지금이나 변함이 없는지....ㅉㅉㅉ 스토리라인도 지루하기 그지없습니다. 보지마세요.	연기력
미친 연기력 진짜 웃기다 ㅋㅋㅋ게이에 대한 거부감있는 분은 피하시길	연기력
미안하지만 초반흑인배우의 극악의 연기력을 보고 바로껏습니다 시걸형님ㅈㅅ	연기력
엉성한 구성에 형편없는 연기력.중견 배우도 연기력 참고해서 등장 시켰으면...	연기력
살리에르의 질투심에 깊이 공감했다. 연기력과 연출이 시대를 초월하는 영화	연기력
여기에10점준사람들은뭐지;;;;내용도뻔하지만 성형미인주리에연기력은 정말 발연기에갑..;;깜짝놀랐다 그런연기에 주연이라니...;;;;	연기력
스토리 개연성도 부족하고..무엇보다 배우들 연기력에 깜짝놀람. 이동욱은 이렇게 잘못했었나 하고. 송지효는 어쩜 늘지를 않을까. 어린아이는 아이고 귀엽다. 차라리 아빠어디가를 보는걸 추천	연기력
문성근 아저씨 연기력땜에 1점 나머지 감독이 말하고자하는바는 가히 쓰레기수준이네요	연기력
아, 보는 내내 정말 빵빵 터집니다! ㅋㅋㅋㅋㅋ 연기자분들 연기력도 좋고, 스토리도 괜찮네요~^^	연기력
보는내내 긴장하게 하는영화배우들 연기력도 좋고무거운소재를 재미있게 잘 풀어낸듯	연기력
정말 매회마다 스릴넘치고 다음회를 기대하게 만들어요. 배우분들 연기력도 최고에요	연기력
역시 연기력 최고!깨알같은 웃음 유발 요소가 있네요!조연 주연 모두 빛나능 영화입니다. 고래까지두요!	연기력
환상적인 cG 환상적인 연기력... 몸서리치게 만드는 ... 꼭보세요들 .. 안보기만해ㅠ	연기력
칼같을것 같은 사람이 의외로 허당일때 느끼는 묘한 친근감이 가득 배어난다. 분위기,음악,연기력,대사 명품 4중주.	연기력
스토리 너무 엉성하고 연기력은 뭐 빅뱅 뮤직비디오 찍은건지 원 영화로 나온건이 놀라올 따름이다	연기력
진짜 보면서 펑펑 울었던, 모든 배우들의 연기력이 돋보였던 드라마였죠.	연기력
회장손녀 정아 발바닥연기력,,연습좀해줬음하네요정말,어설퍼서채널돌리게되는,,,서우는오글거리는눈알만오르락내리락. 볼때마다느끼하고,,강서연이그남아연기젤낮네요. 얼굴볼때마다짜증나는거보면. 복수는언제할련지그만좀끌어요~~	연기력
장혁완전..연기력작력이다;진짜보고 마지막에눈물낫다..그리고인간적으로 까대는쓰.레기들아;니내가 직접각본쓰고 해바라; 솔직히 아이돌도그렇고 이정도연기력이면훌륭해 그리고 니내는첩보액션드라마에서 주연이 총을맞겟냐?가끔맞을수도있지만 드라만데 다큐도아니고;	연기력
Tv에서 방영되서 잠깐보려다 눈못때고 끝까지보게됬네요 연기력도 너무좋고,,독립영화는 처음이었는데,,선입견을버리게됬네요~^^	연기력
아직 나의 능력이 여기까지 오진 못한 것 같다. 뭔가 쉬운 얘기같으면서도 굉장히 어려운 영화라고 할까? 너무 지루해서 마지막 30분은 빨리 돌리면서 봤다. 하지만 호아킨의 연기력은 엄청나다.	연기력
신선한 소재와 호흡의 연출, 배우들의 연기력... 잠이 확 깼음!	연기력
연기력짱 완전 연기를 잘해요	연기력
아이 키우는 부모로서는 정말 충분히 이유가 있는 살인일듯엄정화의 대단한 연기력에 정말 놀랐다...	연기력
제목이 많이 아쉽네요.. 기대이상 재미있게 봤습니다. 간만에 감독을 찾아볼정도로 느낌있네요.. 연기력들도 전반적으로 좋습니다!!	연기력
Com-아끼고 아껴보던.. 정말.. 명작.. 주옥같은 그 당시 노래와.. 소품들.. 그리고.. 기대치 않았던.. 신인배우들의 연기력... 깨알같던.. 까메오 출연과.. 실타래 풀리는 듯한 스토리가.. 회를 거듭할수록 기대하게 하는 명작 드라마	연기력
개봉 4일만에 DVDRIP 뜬것만 봐도 별로라는걸 알 수 있다. 영화관에서 무료로 보여준다고 해도 솔직히 왕복 시간이랑 기름값 아까웠을듯;;진심 궁금한건데 남자 형사분 감독님 지인이신지? 연기력 오지네요!! 남자 형사님 연기 보는 재미 빼고는 볼거X	연기력
역시 맥어보이 연기는... 믿고보는 연기, 영화내용을 더 살리는게 맥어보이의 연기력같다	연기력
반전쥑이는 수작!!배우들의 탄탄한 연기력과 탄탄한 스토리!쥑이는 반전이 정말 재밌는 스릴러 영화에요.	연기력
시청률로 평가하기엔 너무나 멋진 드라마.한편의 영화를 보는 듯한 영상미와 배우들의 초절정 연기력 모든 것이 완벽했다.진정 시청자로서는 행복한 시간들 이였다. 아시겠습니까?	연기력
대박이지 이건 연기력 캐리	연기력
스토리도, 연출도, 연기력도 죄다 영... 그나마 액션을 기대하고 봤는데 그마저도 여주가 상당한 비중을 차지해버리고 무엇보다 가장 큰 문제는 견자단마저 제대로 된 액션을 못보여준다는점 으으...	연기력
액션도 너무 작위적 억지스럽고 클레멘타인이 연상되는 삼류 영화임 배우들의 연기력이 아깝다	연기력
CG도 최악 스토리도 최악 연기력도 최악...긴장감이 조금있는듯 하지만... 전체적으로너무 재미없는.영화	연기력
성동일,김희원씨는 연기력은 탑급인데 쓰레기영화도 마다하지않는 이상한사람들이고..김강우는ㅋㅋ집에 돈없나 진짜 이해가안가는 배우	연기력
연기력이 너무 좋아 상황이 더욱 역겨웠습니다	연기력
극강의 연출력과 연기력. 이것이 바로 벤 애플렉이 만든 보스턴의 전설이다.	연기력
신하균씨 연기력에 푹 빠지네요.	연기력
레오의 연기력은 실제가 아닌가 싶을 정도로 무섭다	연기력
전문성우 데려다 써야죠..안그래도 브라운관에 연기력 떨어지는 아이돌들이 연기한답시고 설치는꼴 보기 벅찬데 목소리까지...어휴	연기력
흥행안된게이해불가..다소어려운부분이있으나 그래도 몰입도가 쩔어요..진짜완전집중해서봄ㅠㅠ 남주 연기력쩔어요	연기력
화이어 버드? 웃음이 폭발하는 연기자들의 연기력	연기력
연기력, 연출, 스토리 무엇하나 제대로 된게 없는, 중간에 잠든 공포영화	연기력
정말 재미없습니다. 이 좋은 시나리오 가지고, 배우들 연기력도 어울리지 않고. 영화보는내내 전개와 상황이 지루해서 몰입도 안됬습니다. 감독의 연출실패라고 보여집니다. 원작을 기대하며 봤는데, 남는것은 내가 이걸 왜봤지라는 분노의 마음뿐.	연기력
배우분들의 연기력도 뛰어나고 몰입감이 죽이내요 ㅎㅎ	연기력
배우들 연기력이 굉장하네요 .. 담백하고 다소 차갑지만 사람을 끌어안는 시선을 가진 영화인듯	연기력
연기력이 있을거란 착각속에 베드신도 어색, 로맨스도 어색, 무엇보다 우정출현들의 등장은 헐~~~	연기력
연기력 좋은 주연배우들의 위력을 실감하게 하는 영화	연기력
발로 쓴 대본, 오그라드는 연기력 2012년 최악의 드라마	연기력
남자 여자 주인공 둘다 너무 좋고 잘어울려서 드라마 몰입도 잘 되는 듯!!구혜선엉니 연기력많이 늘은듯! 조으다	연기력
진짜 의뢰인하고 비교했을때 왜이렇게 긴장감이 떨어지고 재미가 없냐... 연기력에 대한 말이 많은데 진짜 일반인이 봐도 연기력 진짜 어색하고 못하네... 특히 판사랑 변호사....	연기력
전혀 지루하지 않았고 좋은 연기력과 잊혀질 뻔한 인물을 재조명 한거에 놀라움이 따른다	연기력
감독과 김창완이 말아먹은 영화...간호사들 연기력 땜에 최악은 면했음..	연기력
연기력 스토리 그냥 보통임	연기력
영화의 몰입도는 좋았지만 재미는 부족했다. 그러나 주인공의 연기력이 바꿔놓았다	연기력
식상한 소재가 그나마 먹히려면 이중반전이나 비주얼 배우들이 아니라, 연기력과 보다 촘촘한 전개가 필요했다	연기력
이정현의 연기력은 정말 엄청나다.... 이 어린 나이때부터 이정현의 연기력은 신적인 수준이었다... 정말 엄청나단 감탄밖에는...... 이정현... 진짜 대단한 사람.... 못하는게 없다... 가수, MC, CF, 라디오, 드라마, 영화...	연기력
포레스트 휘태커의 연기력에 지리는 영화.	연기력
정말 실망스럽기 그지없다.감동도 연기력도 구성도 다 쓰레기	연기력
신소율은 연기력이나 외모에 비해 작품을 너무 못고르는 것 같다.	연기력
정재영의 연기력+남지현의 깜직함.. 볼만하던데~	연기력
근래 본 영호중 가장 어이없었음. 이게뭐야?만 연발하다 영화가 끝남.신하균 연기력으로 만 살린 영화다. 시나리오나 연출이나 이래도 됨? 이게 반전이라니... 배우가 정말 아깝다.	연기력
후.... 두 주연배우 연기력만 점수 주고싶다	연기력
분위기는 좋았지만 뜬금없는 전개와 난잡한 구성으로 영화를 보는 내내 자리에서 일어나고 싶었다. 1점이 아닌 3점을 준 이유는 분위기+ 몇몇 배우들의 연기력 때문이다.	연기력
연기력, 스토리, 감동 세박자의 완성70년대 유신정권에 대한 시대상의 반영과현대적 '아버지'의 단면을 잘 조화시킨 작품	연기력
누구한명의 연기력때문에 이제 그만봅니다..어색 오글거림	연기력
보고나서 시간이 아까웠던 몇 안되는 영화 중 하나.너무 뻔한 스토리에다 배우들의 연기다 뭐다 따질 수 없을 만큼 그 누구의 연기력도 돋보이지 않았으며, 배우들이 아까웠다.	연기력
앞엔 재밌었다 뒤에는 감동적이었다 끝.. 마지막의 전개가 너무 빨랐고 급마무리가 아쉬웠음 주제는 뭘까.. 하정우 연기력엔 좀 감동	연기력
하정우 연기력이 일품.	연기력
현실성이 너무 떨어지네요. 만화책이랑 액션이 다를게 없음. 연기력도 실망스럽고.,. 내용의 짜임새도 허술하고,, 8점 가까이되는 평점이 의아하네요	연기력
연기력은 한예리와 동급(영어는 강점),.. 작업복은 글쎄요	연기력
각본은 둘째치고.연기력들이.김혜선씨사극때논란 된적도있지만,연기력이왜그런지.남주나역두말하면입아프고!전개 도붙이고,화끈한복수로통쾌한 마무리 해주세요(그리고 모든 역할들의 만남 장소인 카페는 맨날 똑같아요 심지어 테이블 위치도ㅋ 아무리 아침 드라마라지만)	연기력
남자주인공의 연기력과90년대부터 현재까지 시대적 배경 연출및공감가는 현실적인 대사들, 다시한번웃고울고갑니다~개봉관이 많지않아 아쉽네요	연기력
허접한 스토리. 허접한 연기력.	연기력
진짜 재밌고 연기력도 전부 최고	연기력
